Advertising_Spend,Sales_Revenue
5740,43920
7036,53115
8139,61502
179,2461
450,7971
4249,29442
8006,65852
5746,42609
902,5029
4476,30971
9971,77853
1440,7998
7838,61134
9823,78703
5869,47885
6330,54321
2534,16753
5887,42740
2000,15455
5093,36616
3313,28487
7001,54269
5943,49486
9320,72986
2983,28811
4331,35327
3867,33777
4959,41253
3508,29695
102,-2408
989,8270
4813,43189
2626,23844
9719,78238
3353,24377
7506,61984
4098,31987
3092,25248
4049,32962
906,11181
8566,72849
2340,20117
7196,61486
7174,60570
4633,41886
1838,12175
4469,31830
9841,78144
8910,75244
8309,69271
7321,63480
6312,52325
588,4103
3519,32439
4209,38664
5405,40331
4327,35925
2730,26593
1767,9657
9528,72353
8686,71529
4691,34736
8935,73440
3021,19668
1897,14130
939,11681
6282,51416
3386,22456
5390,43487
6339,49665
8017,67939
3803,29319
8069,69291
7524,61568
8518,65041
9207,72724
5014,39472
1576,16296
4961,38202
3668,29984
1913,19372
8701,66872
3610,27160
8554,67386
1801,12154
6090,47510
5848,46646
3791,33044
1858,15260
6039,49977
5085,38953
2726,22518
4439,39931
4635,36390
6517,51107
5009,37088
9801,75988
2237,17196
529,-613
903,3595
1140,12029
8122,65171
8272,70025
9080,77568
6382,53178
6956,57805
5634,49336
2032,17871
3161,26113
9974,80667
1473,15720
7131,54537
656,8969
3417,26055
9373,71649
6627,48963
9060,72268
794,5605
3136,28632
9705,79627
5655,45725
446,715
962,4275
2842,24496
5297,43743
4408,31691
9330,75666
3461,22758
248,1240
3708,30130
7745,63350
2590,20408
6198,53320
6966,59798
3650,28645
8806,73147
7125,52282
7398,56517
9566,78430
8769,66554
4932,36514
1922,17039
3239,29623
8960,72688
5302,46864
5194,40061
753,1927
2941,22561
7462,62114
755,2677
4560,37379
6366,46539
6857,56054
7067,56769
8605,67938
187,2032
6935,53336
6164,48255
9046,73079
606,5912
9973,81538
3470,24073
4195,33586
8436,69179
8087,63334
6427,50271
183,5608
602,5116
3528,31855
1678,10837
6177,48624
7004,51526
2906,21822
6025,47661
1748,10119
2261,16619
8135,64303
7526,64499
3490,28134
1194,10872
7577,59931
3861,29584
1945,19724
7123,54257
970,9091
5359,47522
7573,60251
6017,48960
3976,30991
6081,50204
4647,35469
7981,67798
7683,64916
7770,58322
6871,52090
2472,15271
1847,10814
4315,38556
9121,77097
5718,48222
9096,75255
3295,22026
8596,65545
2692,24056
5516,45569
1522,15930
138,-1287
2276,22049
6943,57160
3529,31157
5005,39738
